boolq,piqa,hellaswag,winogrande,arc_easy,arc_challenge,openbookqa,AVE
acc,acc,acc_norm,acc,acc,acc_norm,acc_norm,n/a
62.17125382262997,66.32208922742112,58.36486755626369,64.40410418310971,50.75757575757576,34.044368600682596,33.4,52.78060844966898
